x: 0.000000, y:0.000000, z:0.000000
x: 0.020000, y:0.000000, z:0.000000
x: 0.040000, y:0.000000, z:0.000000
x: 0.060000, y:0.000000, z:0.000000
x: 0.080000, y:0.000000, z:0.000000
x: 0.100000, y:0.000000, z:0.000000
x: 0.120000, y:0.000000, z:0.000000
x: 0.140000, y:0.000000, z:0.000000
x: 0.160000, y:0.000000, z:0.000000
x: 0.180000, y:0.000000, z:0.000000
x: 0.200000, y:0.000000, z:0.000000
x: 0.220000, y:0.000000, z:0.000000
x: 0.240000, y:0.000000, z:0.000000
x: 0.260000, y:0.000000, z:0.000000
x: 0.280000, y:0.000000, z:0.000000
x: 0.300000, y:0.000000, z:0.000000
x: 0.320000, y:0.000000, z:0.000000
x: 0.340000, y:0.000000, z:0.000000
x: 0.360000, y:0.000000, z:0.000000
x: 0.380000, y:0.000000, z:0.000000
x: 0.400000, y:0.000000, z:0.000000
x: 0.420000, y:0.000000, z:0.000000
x: 0.440000, y:0.000000, z:0.000000
x: 0.460000, y:0.000000, z:0.000000
x: 0.480000, y:0.000000, z:0.000000
x: 0.500000, y:0.000000, z:0.000000
x: 0.000000, y:0.020000, z:0.000000
x: 0.020000, y:0.020000, z:0.000000
x: 0.040000, y:0.020000, z:0.000000
x: 0.060000, y:0.020000, z:0.000000
x: 0.080000, y:0.020000, z:0.000000
x: 0.100000, y:0.020000, z:0.000000
x: 0.120000, y:0.020000, z:0.000000
x: 0.140000, y:0.020000, z:0.000000
x: 0.160000, y:0.020000, z:0.000000
x: 0.180000, y:0.020000, z:0.000000
x: 0.200000, y:0.020000, z:0.000000
x: 0.220000, y:0.020000, z:0.000000
x: 0.240000, y:0.020000, z:0.000000
x: 0.260000, y:0.020000, z:0.000000
x: 0.280000, y:0.020000, z:0.000000
x: 0.300000, y:0.020000, z:0.000000
x: 0.320000, y:0.020000, z:0.000000
x: 0.340000, y:0.020000, z:0.000000
x: 0.360000, y:0.020000, z:0.000000
x: 0.380000, y:0.020000, z:0.000000
x: 0.400000, y:0.020000, z:0.000000
x: 0.420000, y:0.020000, z:0.000000
x: 0.440000, y:0.020000, z:0.000000
x: 0.460000, y:0.020000, z:0.000000
x: 0.480000, y:0.020000, z:0.000000
x: 0.500000, y:0.020000, z:0.000000
x: 0.000000, y:0.040000, z:0.000000
x: 0.020000, y:0.040000, z:0.000000
x: 0.040000, y:0.040000, z:0.000000
x: 0.060000, y:0.040000, z:0.000000
x: 0.080000, y:0.040000, z:0.000000
x: 0.100000, y:0.040000, z:0.000000
x: 0.120000, y:0.040000, z:0.000000
x: 0.140000, y:0.040000, z:0.000000
x: 0.160000, y:0.040000, z:0.000000
x: 0.180000, y:0.040000, z:0.000000
x: 0.200000, y:0.040000, z:0.000000
x: 0.220000, y:0.040000, z:0.000000
x: 0.240000, y:0.040000, z:0.000000
x: 0.260000, y:0.040000, z:0.000000
x: 0.280000, y:0.040000, z:0.000000
x: 0.300000, y:0.040000, z:0.000000
x: 0.320000, y:0.040000, z:0.000000
x: 0.340000, y:0.040000, z:0.000000
x: 0.360000, y:0.040000, z:0.000000
x: 0.380000, y:0.040000, z:0.000000
x: 0.400000, y:0.040000, z:0.000000
x: 0.420000, y:0.040000, z:0.000000
x: 0.440000, y:0.040000, z:0.000000
x: 0.460000, y:0.040000, z:0.000000
x: 0.480000, y:0.040000, z:0.000000
x: 0.500000, y:0.040000, z:0.000000
x: 0.000000, y:0.060000, z:0.000000
x: 0.020000, y:0.060000, z:0.000000
x: 0.040000, y:0.060000, z:0.000000
x: 0.060000, y:0.060000, z:0.000000
x: 0.080000, y:0.060000, z:0.000000
x: 0.100000, y:0.060000, z:0.000000
x: 0.120000, y:0.060000, z:0.000000
x: 0.140000, y:0.060000, z:0.000000
x: 0.160000, y:0.060000, z:0.000000
x: 0.180000, y:0.060000, z:0.000000
x: 0.200000, y:0.060000, z:0.000000
x: 0.220000, y:0.060000, z:0.000000
x: 0.240000, y:0.060000, z:0.000000
x: 0.260000, y:0.060000, z:0.000000
x: 0.280000, y:0.060000, z:0.000000
x: 0.300000, y:0.060000, z:0.000000
x: 0.320000, y:0.060000, z:0.000000
x: 0.340000, y:0.060000, z:0.000000
x: 0.360000, y:0.060000, z:0.000000
x: 0.380000, y:0.060000, z:0.000000
x: 0.400000, y:0.060000, z:0.000000
x: 0.420000, y:0.060000, z:0.000000
